NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
CHICHAWATNI,57200,Sahiwal GPO,Punjab,57201
CHIK BUDHAL,47882,Gujar Khan GPO,Punjab,47883
CHIKAR,13170,Muzaffarabad GPO,Azad Kashmir,13171
CHILAM ,14400,Gilgit GPO,Northern Area,14401
CHILAS (LSG),14100,Gilgit GPO,Northern Area,14101
CHINIOT,35400,Jhang GPO,Punjab,35401
CHINJI,48280,Talagang GPO,Punjab,48281
CHIRAH,45680,Islamabad GPO,Federal Capital,45681
CHIRALA,12620,Bagh GPO,Azad Kashmir,12621
CHISHMA RIGHT BANK CANAL D.I KHAN,29190,Dera Ismail Khan GPO,KPK,29191
CHISHTIAN,62350,Bahawal Nagar GPO,Punjab,62351
CHITRAL GPO,17200,Chitral GPO,KPK,17201
CHITTA BATTA,21304,Mansehra GPO,KPK,21305
CHITTA MORE,47120,Murree GPO,Punjab,47121
CHITTER PARI ,10230,Mirpur GPO,Azad Kashmir,10231
CHOA SAIDAN SHAH,48320,Chakwal GPO,Punjab,48321
CHOBARA,51450,Sialkot GPO,Punjab,51451
CHOHA KHALSA,47470,Rawalpindi GPO,Punjab,47471
CHOHAN,48920,Chakwal GPO,Punjab,48921
CHOHAN,21062,Mansehra GPO,KPK,21063
CHOKARA,27300,Karak GPO,KPK,27301
CHOTALA,49710,Jhelum GPO,Punjab,49711
CHOTI,32380,Dera Ghazi Khan GPO,Punjab,32381
CHOTTA GALA,12260,Rawalakot GPO,Azad Kashmir,12261
CHOUBARA,31500,Layyah GPO,Punjab,31501
CHOUDHWAN,29330,Dera Ismail Khan GPO,KPK,29331
CHOWK GIROTE,41024,Khushab GPO,Punjab,41025
CHOWK METHLA,61172,Vehari GPO,Punjab,61173
CHOWK PINDORI,47530,Rawalpindi GPO,Punjab,47531
CHOWKI,10080,Bhimber GPO,Azad Kashmir,10081
CHOWKI MONG,11190,Kotli GPO,Azad Kashmir,11191
CHUHANG,53800,Lahore GPO,Punjab,53801
CHUHAR JAMALI,73070,Hyderabad GPO,Sindh,73071
CHUND BHARWANA,35500,Jhang GPO,Punjab,35501
CHUNDIKO,66062,Khairpur GPO,Sindh,66063
CHUNIAN  ,55220,Kasur GPO,Punjab,55221
CHUPRIAL,19044,Saidu Shairf GPO,KPK,19045
CHUTIALI SHAFIR,84100,Loralai GPO,Balochistan,84101
CLARKABAD,55190,Kasur GPO,Punjab,55191
CONSOLIDATED SUGAR MILLS RANI PUR,66104,Khairpur GPO ,Sindh,66105
D.G KHAN SECONDARY BOARD,32260,Dera Ghazi Khan GPO,Punjab,32261
D.G.KHAN CEMENT FACTORY,32250,Dera Ghazi Khan GPO,Punjab,32251
D.I KHAN AGRICULTURAL RESEARCH CENTER,29120,Dera Ismail Khan GPO,KPK,29121
D.I KHAN POLYTECHNICAL INSTITUTE,29090,Dera Ismail Khan GPO,KPK,29091
DAB BEGU KHEL,27900,Karak GPO,KPK,27901
DAD LAGHARI,65052,Sukkur GPO,Sindh,65053
DADAR,21160,Mansehra GPO,KPK,21161
DADU GPO,76200,Dadu GPO,Sindh,76201
DADU SUGAR MILL (PIARO GOTH),76230,Dadu GPO,Sindh,76231
DADYAL KHURD,10530,Mirpur GPO,Azad Kashmir,10531
DAGAI BANDA,24200,Nowshera GPO,KPK,24201
DAGAR NARI,26410,Kohat GPO,KPK,26411
DAGGAR,17290,Mardan GPO,KPK,17291
DAGHONI,16750,Skardu HPO,Northern Area,16751
DAHGAL,47310,Rawalpindi GPO,Punjab,47311
DAHRAN WALA,62380,Bahawal Nagar GPO,Punjab,62381
DAJAL,33100,Dera Ghazi Khan GPO,Punjab,33101
DAK ISMAIL KHEL,24260,Nowshera GPO,KPK,24261
DAKHAN,78040,Shikarpur GPO,Sindh,78041
DAKHNAIR,43080,Attock GPO,Punjab,43081
DALBANDIN,95100,Quetta GPO,Balochistan,95101
DALIPUR,48312,Chakwal GPO,Punjab,48313
DALLOWALI,51320,Sialkot GPO,Punjab,51321
DALOLA,22190,Abbottabad GPO,KPK,22191
DALOLA,22190,Mansehra GPO,KPK,22191
DALU KHEL,28530,Bannu GPO,KPK,28531
DALWAL,48360,Chakwal GPO,Punjab,48361
DAMORI,19204,Saidu Sharif GPO,KPK,19205
DAMSUM,16910,Skardu HPO,Northern Area,16911
DANDA SHAH BALAWAL,48230,Talagang GPO,Punjab,48231
DANDI SURHALI,48042,Talagang GPO,Punjab,48043
DANDOT,48310,Chakwal GPO,Punjab,48311
DANDOT RAILWAY STATION,49064,Jhelum GPO,Punjab,49065
DANYORE,15110,Gilgit GPO,Northern Area,15111
DARA ADAM KHEL,26100,Kohat GPO,KPK,26101
DARA MANIAL,18400,Batkhela HPO,KPK,18401
DARA PEZU,28470,Bannu GPO,KPK,28471
DARABAN,29310,Dera Ismail Khan GPO,KPK,29311
DARAIN,34380,Muzaffargarh GPO,Punjab,34381
DARASON,17060,Chitral GPO,KPK,17061
DARAZINDA,29340,Dera Ismail Khan GPO,KPK,29341
DARBAND,21460,Mansehra GPO,KPK,21461
DARBELO,67070,Nawabshah GPO,Sindh,67071
DARGAI,23060,Batkhela HPO,KPK,23061
DARORA,18150,Batkhela HPO,KPK,18151
DAROTE,48154,Talagang GPO,Punjab,48155
DARRO,73040,Hyderabad GPO,Sindh,73041
DARYA KHAN MARI,67390,Nawabshah GPO,Sindh,67391
DARYA KHAN RAILWAY STATION,30100,Bhakkar GPO,Punjab,30101
DASKA,51010,Sialkot GPO,Punjab,51011
DASSU,20100,Mansehra GPO,KPK,20101
DASUHA,37430,Faisalabad GPO,Punjab,37431
DATA KHEL,28220,Bannu GPO,KPK,28221
DATOOT,12440,Rawalakot GPO,Azad Kashmir,12441
DAUD KHEL,42320,Mianwali GPO,Punjab,42321
DAUD ZAI,24400,Peshawar GPO,KPK,24401
DAULAT NAGAR,50910,Gujrat GPO,Punjab,50911
DAULATPUR,67190,Nawabshah GPO,Sindh,67191
DAULTALA,47740,Gujar Khan GPO,Punjab,47741
DAUR,67410,Nawabshah GPO,Sindh,67411
DAVLAI,19070,Saidu Sharif GPO,KPK,19071
DAWARANDI ,12164,Rawalakot GPO,Azad Kashmir,12165
DAWOOD ABAD,61050,Vehari GPO,Punjab,61051
DAWOODPUR,43700,Attock GPO,Punjab,43701
DEAR MURAD JAMALI,80700,Sibi GPO,Balochistan,80701
DEH-22 JAMRO,68214,Sanghar GPO,Sindh,68215
DEPALPUR,56180,Okara GPO,Punjab,56181
DERA ALLAYYAR,80500,Sibi GPO,Balochistan,80501
DERA BAKHA,63070,Bahawalpur GPO,Punjab,63071
DERA BUGTI,80100,Sibi GPO,Balochistan,80101
DERA DIN PANAH,34010,Muzaffargarh GPO,Punjab,34011
DERA GHAZI KHAN GPO,32200,Dera Ghazi Khan GPO,Punjab,32201
DERA ISMAIL KHAN GPO,29050,Dera Ismail Khan GPO,KPK,29051
DERA TOWN SHIP,29060,Dera Ismail Khan GPO,KPK,29061
DEVAL,23490,Sawabi GPO,KPK,23491
DEVI,47784,Gujar Khan GPO,Punjab,47785
DEVNA MANDI (BASCO),50600,Gujrat GPO,Punjab,50601
DEWAL,47194,Murree GPO,Punjab,47195
DEWALIAN,48820,Chakwal GPO,Punjab,48821
DEWAN SHARIF GORAH,12060,Rawalakot GPO,Azad Kashmir,12061
DEWAN SUGAR MILLS THATTA,73052,Hyderabad GPO,Sindh,73053
DEWAN SULEMAN FAROOQ INDUSTRIAL AREA,22870,Haripur GPO,KPK,22871
DHABEJI,73200,Hyderabad GPO,Sindh,73201
DHADAR,81400,Sibi GPO,Balochistan,81401
DHADHAR,41122,Khushab GPO,Punjab,41123
DHAIWAL,49200,Jhelum GPO,Punjab,49201
DHAKHI,24506,Charsadda GPO,KPK,24507
DHAMALI,47450,Rawalpindi GPO,Punjab,47451
DHAMAWA,10460,Mirpur GPO,Azad Kashmir,10461
DHAMIAL CAMP RAWALPINDI,46500,Rawalpindi GPO,Punjab,46501
DHAMTAUR,22200,Abbottabad GPO,KPK,22201
DHAMTHAL,51660,Narowal GPO,Punjab,51661
DHANDA,47240,Murree GPO,Punjab,47241
DHANDAR KALAN,10038,Bhimber GPO,Azad Kashmir,10039
DHANOT,59330,Multan GPO,Punjab,59331
DHARABI,48624,Chakwal GPO,Punjab,48625
DHARIAL KAHOON,48340,Chakwal GPO,Punjab,48341
DHARIALA JALAP,49080,Jhelum GPO,Punjab,49081
DHARIMA,40370,Sargodha GPO,Punjab,40371
DHARKI,65010,Sukkur GPO,Sindh,65011
DHARUKNA,48564,Chakwal GPO,Punjab,48565
DHARYALA SEHGAL,47510,Rawalpindi GPO,Punjab,47511
DHAULAR,48062,Talagang GPO,Punjab,48063
DHEEDWAL,48516,Chakwal GPO,Punjab,48517
DHERI ALLA DHAND,23010,Batkhela HPO,KPK,23011
DHERI SYDAN,48332,Chakwal GPO,Punjab,48333
DHERI WATTAN,10042,Bhimber GPO,Azad Kashmir,10043
DHERMOND,48180,Talagang GPO,Punjab,48181
DHIBA KAR SIAL,42232,Mianwali GPO,Punjab,42233
DHIDWAL,48500,Chakwal GPO,Punjab,48501
DHILL BAGH,35300,Jhang GPO,Punjab,35301
DHIRKOT,12600,Bagh GPO,Azad Kashmir,12601
DHIRKOT SATTIAN ,47234,Murree GPO,Punjab,47235
DHODA,48902,Chakwal GPO,Punjab,48903
DHODHA SHARIF,50892,Gujrat GPO,Punjab,50893
DHOK LAHM,43250,Attock GPO,Punjab,43251
DHOKE BIDDER,49720,Jhelum GPO,Punjab,49721
DHONG,47770,Gujar Khan GPO,Punjab,47771
DHONKAL,52010,Gujranwala GPO,Punjab,52011
DHORIA,50130,Gujrat GPO,Punjab,50131
DHORO NARO,69070,Mirpur Khas GPO,Sindh,69071
DHRIKAN KALAN,50450,Mandi Bahauddin GPO,Punjab,50451
DHUDHI THALL,49000,Jhelum GPO,Punjab,49001
DHUDIAL (CHAKWAL),48700,Chakwal GPO,Punjab,48701
DHUDIAL (MANSEHRA),21130,Mansehra GPO,KPK,21131
DHULLI,48170,Talagang GPO,Punjab,48171
DHULLI,12570,Bagh GPO,Azad Kashmir,12571
DHURNAKA,42240,Mianwali GPO,Punjab,42241
DHURNAL,48210,Talagang GPO,Punjab,48211
DIAL,49310,Jhelum GPO,Punjab,49311
DICH KOT,37370,Faisalabad GPO,Punjab,37371
DIGARI,88150,Quetta GPO,Balochistan,88151
DIGRI,69330,Mirpur Khas GPO,Sindh,69331
DILAWAR FARM SARGANA,61202,Vehari GPO,Punjab,61203
DILBORI,21430,Mansehra GPO,KPK,21431
DILLEWALI,42312,Mianwali GPO,Punjab,42313
DIN PUR,29100,Dera Ismail Khan GPO,KPK,29101
DINA,49400,Jhelum GPO,Punjab,49401
DINGA,50280,Mandi Bahauddin GPO,Punjab,50281
DIPLO,69280,Mirpur Khas GPO,Sindh,69281
DIR,18000,Batkhela HPO,KPK,18001
DIWANI HAZOORI,49240,Jhelum GPO,Punjab,49241
DOABA,26240,Kohat GPO,KPK,26241
DOABA,34382,Muzaffargarh GPO,Punjab,34383
DOBERAN KALAN,47440,Rawalpindi GPO,Punjab,47441
DOBIAN,23330,Mardan GPO,KPK,23331
DOGAI,23340,Mardan GPO,KPK,23341
DOKOTA,61180,Vehari GPO,Punjab,61181
DOKRI,77060,Larkana GPO,Sindh,77061
DOMEL,43220,Attock GPO,Punjab,43221
DOMEL (BANNU),28010,Bannu GPO,KPK,28011
DOMELI,49300,Jhelum GPO,Punjab,49301
DR.AZIZULLAH SALAKZAI,80310,SIBI GPO,Balochistan,80311
DRIGH COLONY,75230,Korangi GPO,Sindh,75231
DROSH,17220,Chitral GPO,KPK,17221
DUBB,42012,Mianwali GPO,Punjab,42013
DUKKI,84200,Loralai GPO,Balochistan,84201
DULLAN WALA,50210,Gujrat GPO,Punjab,50211
DULLEWALA,30110,Bhakkar GPO,Punjab,30111
DULMIAL,48330,Chakwal GPO,Punjab,48331
DUMMAN,48880,Chakwal GPO,Punjab,48881
DUNGA BUNGA,62110,Bahawal Nagar GPO,Punjab,62111
DUNGA GALI,22300,Abbottabad GPO,KPK,22301
DUNYA PUR,59120,Bahawalpur GPO,Punjab,59121
DURNIYAN,47262,Rawalpindi GPO,Punjab,47263
ELLAHABAD,55230,Kasur GPO,Punjab,55231
EMIN ABAD,52460,Gujranwala GPO,Punjab,52461
EMIN ABAD MORE,52450,Gujranwala GPO,Punjab,52451
EXPORT PROCESSING ZONE (KP-1863),75150,Korangi GPO,Sindh,75151
F.S.MILLS GAMBAT,66080,Khairpur GPO ,Sindh,66081
FAISALABAD AMIN PUR BANGLOW,38200,Faisalabad GPO,Punjab,38201
FAISALABAD BOARD OF EDUCATION,38004,Faisalabad GPO,Punjab,38005
FAISALABAD G.P.O,38000,Faisalabad GPO,Punjab,38001
FAISALABAD MADINA TOWN,38860,Faisalabad GPO,Punjab,38861
FAISALABAD MILLAT COLONY,38080,Faisalabad GPO,Punjab,38081
FAISALABAD NISHAT ABAD  ,38600,Faisalabad GPO,Punjab,38601
FAISALABAD NOOR PUR,38700,Faisalabad GPO,Punjab,38701
FAISALABAD PEOPLES COLONY No.2,38090,Faisalabad GPO,Punjab,38091
FAISALABAD PUNJAB MEDICAL COLLEGE,38800,Faisalabad GPO,Punjab,38801
FAQIR WALI,62050,Bahawal Nagar GPO,Punjab,62051
FAREEDABAD,76350,Dadu GPO,Sindh,76351
FARID NAGAR,57400,Sahiwal GPO,Punjab,57401
FARID TOWN SAHIWAL,57050,Sahiwal GPO,Punjab,57051
FAROOKA,40040,Sargodha GPO,Punjab,40041
FAROOQABAD,39520,Qila Sheikhupura GPO,Punjab,39521
FAROOQABAD MANDI,39500,Qila Sheikhupura GPO,Punjab,39501
FATEH GARH,51350,Sialkot GPO,Punjab,51351
FATEH JANG,43350,Attock GPO,Punjab,43351
FATEH PUR,31050,Layyah GPO,Punjab,31051
FATEH PUR,50900,Gujrat GPO,Punjab,50901
FATEHPUR,19030,Saidu Sharif GPO,KPK,19031
FAUJI SUGAR MILLS KHOSKI,72260,Hyderabad GPO,Sindh,72261
FAZAL GARH ,34130,Muzaffargarh GPO,Punjab,34131
FAZAL NAGAR,34210,Muzaffargarh GPO,Punjab,34211
FEROZ SONS NOWSHERA,24160,Nowshera GPO,KPK,24161
FEROZA,64070,Rahimyar Khan GPO,Punjab,64071
FEROZEPUR ROAD LAHORE,54600,Lahore Cantt GPO,Punjab,54601
FERTILIZER FACTORY DHARKI,65020,Sukkur GPO,Sindh,65021
FILTER PLANT GHARO,73220,Hyderabad GPO,Sindh,73221
FORT ABBAS,62020,Bahawal Nagar GPO,Punjab,62021
FORT IQBAL GARH,29150,Dera Ismail Khan GPO,KPK,29151
FORT MOROT,62000,Bahawal Nagar GPO,Punjab,62001
FORT MUNROO,32320,Dera Ghazi Khan GPO,Punjab,32321
FURMALI,43540,Attock GPO,Punjab,43541
GADANI,90300,Khuzdar GPO,Balochistan,90301
GADOON AMAZAI,23454,Sawabi GPO,KPK,23455
GAGGO,61000,Vehari GPO,Punjab,61001
GAGGON,43330,Attock GPO,Punjab,43331
GAHKOOCH,15200,Gilgit GPO,Northern Area,15201
GAJI KHUHAWAR,77030,Larkana GPO,Sindh,77031
GALA KANIYATA,12150,Rawalakot GPO,Azad Kashmir,12151
GALAY WALA,60010,Multan GPO,Punjab,60011
GAMANG,22170,Abbottabad GPO,KPK,22171
GAMBAT,66070,Khairpur GPO ,Sindh,66071
GAMBEER,22370,Abbottabad GPO,KPK,22371
GAMSEER,23040,Batkhela GPO,KPK,23041
GANDA KAS,43370,Attock GPO,Punjab,43371
GANDA SINGH WALA,55100,Kasur GPO,Punjab,55101
GANDAF,23480,Sawabi GPO,KPK,23481
GANDAKHA,80400,Sibi GPO,Balochistan,80401
GANDAWA,81050,Sibi GPO,Balochistan,81051
GANGA PUR,37280,Faisalabad GPO,Punjab,37281
GARAHI DUPATTA,13150,Muzaffarabad GPO,Azad Kashmir,13151
GARAM CHASHMA,17130,Chitral GPO,KPK,17131
GARELO,77120,Larkana GPO,Sindh,77121
GARH,37110,Faisalabad GPO,Punjab,37111
GARH MAHA RAJA,35080,Jhang GPO,Punjab,35081
GARH MAHAL,49360,Jhelum GPO,Punjab,49361
GARHA MORE,61150,Vehari GPO,Punjab,61151
GARHI KAPURA,23310,Mardan GPO,KPK,23311
GARHI KHAIRO,79050,Jacobabad GPO,Sindh,79051
GARHO,73242,Hyderabad GPO,Sindh,73243
GARI YASIN,78150,Shikarpur GPO,Sindh,78151
GARMANARA,23550,Sawabi GPO,KPK,23551
GAS TARBINE POWER MUZAFFARGARH,34060,Muzaffargarh GPO,Punjab,34061
GATAL,48220,Talagang GPO,Punjab,48221
GATHER,77212,Larkana GPO,Sindh,77213
GAWADAR,91200,Turbat GPO,Balochistan,91201
GENERAL HEAD QUARTER RAWALPINDI,46100,Rawalpindi GPO,Punjab,46101
GHAKHAR,52200,Gujranwala GPO,Punjab,52201
GHALEGI,19230,Saidu Sharif GPO,KPK,19231
GHALNAI,24650,Charsadda GPO,KPK,24651
GHARGOCHHO,67360,Nawabshah GPO,Sindh,67361
GHARI HABIBULLAH,21240,Mansehra GPO,KPK,21241
GHARI KHUDA BUX BHUTTO,77340,Larkana GPO,Sindh,77341
GHARIAI,47184,Murree GPO,Punjab,47185
GHARIBABAD,23166,Mardan GPO,KPK,23167
GHARIBWAL CEMENT,49090,Jhelum GPO,Punjab,49091
GHARO,73210,Hyderabad GPO,Sindh,73211
GHARTAL,51090,Sialkot GPO,Punjab,51091
GHAZI,22860,Haripur GPO,KPK,22861
GHAZI ABAD,48808,Chakwal GPO,Punjab,48809
GHAZI ABAD,57210,Sahiwal GPO,Punjab,57211
GHAZIAL,48904,Chakwal GPO,Punjab,48905
GHAZNI KHEL,28450,Bannu GPO,KPK,28451
GHORA GALI,47110,Murree GPO,Punjab,47111
GHORI WALA,28330,Bannu GPO,KPK,28331
GHORIKOT,14350,Gilgit GPO,Northern Area,14351
GHOTKI,65110,Sukkur GPO,Sindh,65111
GHOUS PUR,79180,Jacobabad GPO,Sindh,79181
GHULAM ISHAQ KHAN INSTITUTE,23640,Mardan GPO,KPK,23641
GHULAM KHAN DHANI,79130,Jacobabad GPO,Sindh,79131
GHULAM MUHAMMAD ABAD,38900,Faisalabad GPO,Punjab,38901
GHUNDI,42302,Mianwali GPO,Punjab,42303
GHUNDI MIR KHAN,27220,Kohat GPO,KPK,27221
GHUNIKE,51040,Sialkot GPO,Punjab,51041
GIDDU BARRAGE,79220,Jacobabad GPO,Sindh,79221
GIL ACRI,36270,T.T Singh GPO,Punjab,36271
GILGIT GPO,15100,Gilgit GPO,Northern Area,15101
GIROTE,41020,Khushab GPO,Punjab,41021
GOGERA,56200,Okara GPO,Punjab,56201
GOHADAPUR,51360,Sialkot GPO,Punjab,51361
GOHKEER,17070,Mardan GPO,KPK,17071
GOJRA,50500,Mandi Bahauddin GPO,Punjab,50501
GOJRA,36120,T.T Singh GPO,Punjab,36121
GOLRA,45200,Islamabad GPO,Federal Capital,45201
GOMA,16920,Skardu HPO,Northern Area,16921
GOMAL BAZAR,29410,Tank GPO,KPK,29411
GOMAL UNIVERSITY NEW CAMPUS,29220,Dera Ismail Khan GPO,KPK,29221
GONDAL,51370,Sialkot GPO,Punjab,51371
GONDAL (SARGODHA),40216,Sargodha GPO,Punjab,40217
GONDALAN WALA,52310,Gujranwala GPO,Punjab,52311
GOTH CHAUDHARY SHAH NAWAZ,67220,Nawabshah GPO,Sindh,67221
GOTH SHAHNAWAZ,70030,Hyderabad GPO,Sindh,70031
GOTRIALA,50182,Gujrat GPO,Punjab,50183
GUDWALIAN,22830,Haripur GPO,KPK,22831
GUJAR GARHI,23170,Mardan GPO,KPK,23171
GUJAR KHAN G.P.O.,47850,Gujar Khan GPO,Punjab,47851
GUJRANWALA ANWAR INDUSTRIES,52300,Gujranwala GPO,Punjab,52301
GUJRANWALA CANTT,52230,Gujranwala GPO,Punjab,52231
GUJRANWALA CLIMAX ABAD,52290,Gujranwala GPO,Punjab,52291
GUJRANWALA G.P.O.,52250,Gujranwala GPO,Punjab,52251
GUJRANWALA PEOPLES COLONY,52260,Gujranwala GPO,Punjab,52261
GUJRANWALA SECONDARY BOARD,52256,Gujranwala GPO,Punjab,52257
GUJRAT (MARDAN),23350,Mardan GPO,KPK,23351
GUJRAT (MUZAFFARGARH),34120,Muzaffargarh GPO,Punjab,34121
GUJRAT G.P.O.,50700,Gujrat GPO,Punjab,50701
GUJRI,68120,Sanghar GPO,Sindh,68121
GUL IMAM,29420,Tank GPO,KPK,29421
GULABPUR,16310,Skardu HPO,Northern Area,16311
GULBERG COLONY ,54660,Lahore Cantt GPO,Punjab,54661
GULEHRA GALI,47220,Murree GPO,Punjab,47221
GULGASHT COLONY,60700,Multan GPO,Punjab,60701
GULIANA,50160,Gujrat GPO,Punjab,50161
GULMIT,15100,Gilgit GPO,Northern Area,15101
GULPUR,11030,Kotli GPO,Azad Kashmir,11031
GULYANA,47880,Gujar Khan GPO,Punjab,47881
GULZAR-E-QUAID,46222,Rawalpindi GPO,Punjab,46223
GUNNI MALNI,11150,Kotli GPO,Azad Kashmir,11151
GUPCHANI,67510,Nawabshah GPO,Sindh ,67511
GUPIS,15300,Gilgit GPO,Northern Area,15301
GURGUSHTI,43410,Attock GPO,Punjab,43411
HABERI,67420,Nawabshah GPO,Sindh,67421
HABIB ABAD,26060,Kohat GPO,KPK,26061
HADALI,41210,Khushab GPO,Punjab,41211
HADOWALI,43040,Attock GPO,Punjab,43041
HAFIZ ABAD,52110,Gujranwala GPO,Punjab,52111
HAIDERABAD (BHAKKAR),30030,Bhakkar GPO,Punjab,30031
HAJEERA,12160,Rawalakot GPO,Azad Kashmir,12161
HAJI ABAD,21100,Mansehra GPO,KPK,21101
HAJI SHAHER,81300,Sibi GPO,Balochistan,81301
HAJIWALA,50890,Gujrat GPO,Punjab,50891
HALA,70120,Hyderabad GPO,Sindh,70121
HALA OLD,70130,Hyderabad GPO,Sindh,70131
HALLI,22580,Abbottabad GPO,KPK,22581
HAMEED,43470,Attock GPO,Punjab,43471
HANESAR,47340,Rawalpindi GPO,Punjab,47341
HANGU,26190,Kohat GPO,KPK,26191
HANGU POLICE TRAINING SCHOOL,26180,Kohat GPO,KPK,26181
HANUMAN GARH,58110,Khanewal GPO,Punjab,58111
HARAKA,47652,Rawalpindi GPO,Punjab,47653
HARAN PUR,49050,Jhelum GPO,Punjab,49051
HARAPPA CITY,57170,Sahiwal GPO,Punjab,57171
HARAPPA RAILWAY STATION,57160,Sahiwal GPO,Punjab,57161
HARBANS PURA,54850,Lahore Cantt GPO,Punjab,54851
HARI CHAND,24520,Charsadda GPO,KPK,24521
HARICHIN,17030,Chitral GPO,KPK,17031
HARIGHEL,12480,Bagh GPO,Azad Kashmir,12481
HARIPUR CENTRAL JAIL,22640,Haripur GPO,KPK,22641
HARIPUR GPO,22620,Haripur GPO,KPK,22621
HARIPUR TELEPHONE FACTORY,22630,Haripur GPO,KPK,22631
HARNAI,82300,Sibi GPO,Balochistan,82301
HARNOLI,42020,Mianwali GPO,Punjab,42021
HAROON ABAD,62100,Bahawal Nagar GPO,Punjab,62101
HASAN ABDAL,43730,Attock GPO,Punjab,43731
HASHIMABAD,73150,Hyderabad GPO,Sindh,73151
HASIL,48740,Chakwal GPO,Punjab,48741
HASIL PUR MANDI,63000,Bahawalpur GPO,Punjab,63001
HASLANWALA,50290,Mandi Bahauddin GPO,Punjab,50291
HATHEJI,63320,Bahawalpur GPO,Punjab,63321
HATHIAN,23120,Mardan GPO,KPK,23121
HATHUNGO,68350,Sanghar GPO,Sindh,68351
HATTAR,43394,Attock GPO,Punjab,43395
HATTAR INDUSTRIAL ESTATE,22610,Haripur GPO,KPK,22611
HATTIAN,43580,Attock GPO,Punjab,43581
HATTIAN BALA,13180,Muzaffarabad GPO,Azad Kashmir,13181
HAVELI BAHADUR SHAH,35150,Jhang GPO,Punjab,35151
HAVELI LAKKHA,56020,Okara GPO,Punjab,56021
HAVELIAN,22500,Abbottabad GPO,KPK,22501
HAVELIAN AMMUNATION DEPOT ,22520,Abbottabad GPO,KPK,22521
HAYATABAD  (PHASE-I),25100,Peshawar GPO,KPK,25101
HAYATABAD PHASE-II,25124,Peshawar GPO,KPK,25125
HAYDER JATOI,77100,Larkana GPO,Sindh,77101
HAZAR GANGI,87320,Quetta GPO,Balochistan,87321
HAZARA UNIVERSITY,21120,Haripur GPO,KPK,21121
HAZOORPUR,40542,Sargodha GPO,Punjab,40543
HAZRO,43440,Attock GPO,Punjab,43441
HEAD RAJKAN,63236,Bahawalpur GPO,Punjab,63237
HEAVY MECHANICAL COMPLEX TAXILA,47050,Wah Cantt. GPO,Punjab,47051
HELAN,50440,Mandi Bahauddin GPO,Punjab,50441
HERDOGHER,45800,Islamabad GPO,Federal Capital,45801
HINGORAJA,66190,Khairpur GPO ,Sindh,66191
HODIGRAM,19220,Saidu Sharif GPO,KPK,19221
HUB CHOWKI,90250,Khuzdar GPO,Balochistan,90251
HUJJAN,40560,Sargodha GPO,Punjab,40561
HUJRA,56170,Okara GPO,Punjab,56171
HURNAMAIRA,12410,Rawalakot GPO,Azad Kashmir,12411
HURRAM ZAI,86710,Quetta GPO,Balochistan,86711
HUSRI,70210,Hyderabad GPO,Sindh,70211
HUSSAIN ABAD,41010,Khushab GPO,Punjab,41011
HUSSAIN KOT,12270,Rawalkot GPO,Azad Kashmir,12271
HUSSAINABAD,28108,Bannu GPO,KPK,28109
HUSSAINABAD,16250,Skardu HPO,Northern Area,16251
HYDERABAD CANTT.,71110,Hyderabad GPO,Sindh,71111
HYDERABAD CITY,71500,Hyderabad GPO,Sindh,71501
HYDERABAD GPO,71000,Hyderabad GPO,Sindh,71001
HYDERABAD TOWN SARGODHA,40340,Sargodha GPO,Punjab,40341
HYSONS SUGAR MILLS JETHA BHUTTA,64080,Rahimyar Khan GPO,Punjab,64081
IKHLAS,43240,Attock GPO,Punjab,43241
IKHLASPUR,51830,Narowal GPO,Punjab,51831
INDUSTRIAL ESTATE,60900,Multan GPO,Punjab,60901
INFANTORY SCHOOL,87750,Quetta GPO,Balochistan,87751
INJRA ,43020,Attock GPO,Punjab,43021
INZAR BANDA,27500,Karak GPO,KPK,27501
IQBAL NAGAR,57350,Sahiwal GPO,Punjab,57351
IQBALABAD,64310,Rahimyar Khan GPO,Punjab,64311
ISA KHEL,42430,Mianwali GPO,Punjab,42431
ISA KHEL,28424,Bannu GPO,KPK,28425
ISKANDAR ABAD,42340,Mianwali GPO,Punjab,42341
ISLAM KOT,69240,Mirpur Khas GPO,Sindh,69241
ISLAMABAD AIWAN-E-SADDAR,44040,Islamabad GPO,Federal Capital,44041
ISLAMABAD ALLAMA IQBAL OPEN UNIVERSITY ,44310,Islamabad GPO,Federal Capital,44311
ISLAMABAD B-BLOCK PAK SECTT.,44020,Islamabad GPO,Federal Capital,44021
ISLAMABAD CABINET BLOCK ,44030,Islamabad GPO,Federal Capital,44031
ISLAMABAD E-9 (AIR HQ),44230,Islamabad GPO,Federal Capital,44231
ISLAMABAD F-7 MARKAZ  ,44210,Islamabad GPO,Federal Capital,44211
ISLAMABAD F-8 MARKAZ ,44220,Islamabad GPO,Federal Capital,44221
ISLAMABAD FEDERAL BOARD ,44320,Islamabad GPO,Federal Capital,44321
ISLAMABAD G.P.O,44000,Islamabad GPO,Federal Capital,44001
ISLAMABAD G-10 MARKAZ ,44100,Islamabad GPO,Federal Capital,44101
ISLAMABAD G-5 FOREIGN OFFICE,44050,Islamabad GPO,Federal Capital,44051
ISLAMABAD G-8/MARKAZ,44080,Islamabad GPO,Federal Capital,44081
